,path,participant_id,sequence_id,sign
0,1000035562.csv,26734,1000035562,blow
1,1002092995.csv,2044,1002092995,blow
2,1008843441.csv,26734,1008843441,blow
3,1028804567.csv,55372,1028804567,blow
4,1031724967.csv,16069,1031724967,blow
5,1052304950.csv,36257,1052304950,blow
6,1061460539.csv,29302,1061460539,blow
7,1068322729.csv,53618,1068322729,blow
8,1000106739.csv,28656,1000106739,wait
9,1017647108.csv,25571,1017647108,wait
10,1019555958.csv,26734,1019555958,wait
11,1023362520.csv,55372,1023362520,wait
12,1030724797.csv,22343,1030724797,wait
13,1038143759.csv,37055,1038143759,wait
14,1048751747.csv,34503,1048751747,wait
15,104882422.csv,61333,104882422,wait
16,1066609483.csv,22343,1066609483,wait
17,1083520521.csv,37779,1083520521,wait
18,100015657.csv,16069,100015657,cloud
19,1001931356.csv,26734,1001931356,cloud
20,1021210853.csv,2044,1021210853,cloud
21,1028905328.csv,61333,1028905328,cloud
22,1048490799.csv,32319,1048490799,cloud
23,1057404158.csv,32319,1057404158,cloud
24,1059403021.csv,53618,1059403021,cloud
25,1080275634.csv,34503,1080275634,cloud
26,1082471626.csv,61333,1082471626,cloud
27,108593571.csv,29302,108593571,cloud
28,1086017602.csv,36257,1086017602,cloud
29,1000210073.csv,25571,1000210073,bird
30,1006690809.csv,4718,1006690809,bird
31,1019494452.csv,18796,1019494452,bird
32,1025250464.csv,25571,1025250464,bird
33,1044708688.csv,16069,1044708688,bird
34,104663714.csv,62590,104663714,bird
35,1068361635.csv,30680,1068361635,bird
36,1000240708.csv,62590,1000240708,owie
37,1006264561.csv,26734,1006264561,owie
38,1007127288.csv,16069,1007127288,owie
39,1011584461.csv,37055,1011584461,owie
40,1018622870.csv,16069,1018622870,owie
41,1070645326.csv,53618,1070645326,owie
42,1073640705.csv,61333,1073640705,owie
43,1076784034.csv,62590,1076784034,owie
44,1000241583.csv,26734,1000241583,duck
45,1002091184.csv,2044,1002091184,duck
46,1007466376.csv,61333,1007466376,duck
47,1013323013.csv,18796,1013323013,duck
48,1015074417.csv,26734,1015074417,duck
49,1025510427.csv,37055,1025510427,duck
50,103135457.csv,18796,103135457,duck
51,1036252951.csv,32319,1036252951,duck
52,104238255.csv,55372,104238255,duck
53,1000278229.csv,32319,1000278229,lips
54,10081088.csv,29302,10081088,lips
55,1009548198.csv,28656,1009548198,lips
56,102499449.csv,29302,102499449,lips
57,1025214855.csv,29302,1025214855,lips
58,103696964.csv,61333,103696964,lips
59,1041845026.csv,34503,1041845026,lips
60,1042662858.csv,4718,1042662858,lips
61,1046463258.csv,37055,1046463258,lips
62,1084861009.csv,53618,1084861009,lips
63,1101065589.csv,22343,1101065589,lips
64,110811729.csv,62590,110811729,lips
65,100035691.csv,37055,100035691,flower
66,1002298936.csv,28656,1002298936,flower
67,1029689790.csv,26734,1029689790,flower
68,1036570100.csv,25571,1036570100,flower
69,1040091276.csv,53618,1040091276,flower
70,1041304780.csv,62590,1041304780,flower
71,1049521508.csv,25571,1049521508,flower
72,105049882.csv,26734,105049882,flower
73,1054525789.csv,25571,1054525789,flower
74,1055908167.csv,18796,1055908167,flower
75,1058559253.csv,16069,1058559253,flower
76,1096350084.csv,22343,1096350084,flower
77,1117047095.csv,27610,1117047095,flower
78,100039661.csv,29302,100039661,time
79,1001158776.csv,28656,1001158776,time
80,1000255522.csv,26734,1000255522,minemy
81,1041371908.csv,30680,1041371908,minemy
82,1045258570.csv,32319,1045258570,minemy
83,1045550713.csv,36257,1045550713,minemy
84,1062196890.csv,61333,1062196890,minemy
85,1081197797.csv,27610,1081197797,minemy
86,1093445028.csv,22343,1093445028,minemy
87,109433494.csv,29302,109433494,minemy
88,1101762513.csv,62590,1101762513,minemy
89,1000397667.csv,49445,1000397667,vacuum
90,1014406304.csv,32319,1014406304,vacuum
91,1051152315.csv,36257,1051152315,vacuum
92,1055517962.csv,37779,1055517962,vacuum
93,1060847722.csv,4718,1060847722,vacuum
94,1067180357.csv,37779,1067180357,vacuum
95,1075304000.csv,37779,1075304000,vacuum
96,1084797512.csv,22343,1084797512,vacuum
97,1089224387.csv,25571,1089224387,vacuum
98,1107044248.csv,62590,1107044248,vacuum
99,1118749272.csv,55372,1118749272,vacuum
